词语,全拼音,后名,状语,后地动,补语,谓语,兼类,备注
闹哄哄,nao4hong1hong1,,,否,,可,,街上~[的]
扭扭捏捏,niu3niu5nie1nie1,,可,,可,可,,这人~的/这个小女孩长大了变得~
暖融融,nuan3rong2rong2,,,否,可,可,,晒得~的
暖洋洋,nuan3yang2yang2,,,否,可,可,,"听了这翻话,我们心里~的"
胖墩墩,pang4dun1dun1,,,否,可,可,,这个孩子长得~的
胖乎乎,pang4hu1hu1,,,否,可,可,,小猪长得~的
喷香,pen4xiang1,,,否,可,可,,花生炒得~
漂漂亮亮,piao4piao5liang1liang1,,,,可,可,,"好看,美丽:姑娘们打扮得~的/出色:你们要~地完成这一光荣任务"
平平淡淡,ping2ping2dan4dan4,,可,,可,可,,"~过日子/这个故事~,引不起读者的兴趣"
平平整整,ping2ping2zheng3zheng3,,,,可,可,,铺得~/这块地~的
破破烂烂,po4po4lan4lan4,,,否,可,可,,他的衣服~/他穿得~的
扑簌簌,pu1su4su4,,可,,,,,"听到这不幸的消息,小李~[地]掉下了眼泪"
漆黑,qi1hei1,,,否,可,可,,天色~
气鼓鼓,qi4gu3gu3,,,,,可,,小李~的/~地说了两句话就走了
切切实实,qie4qie4shi2shi2,,可,,,,,~干几件好事
怯生生,qie4sheng1sheng1,,,,,可,,~地说/这孩子见到生人~的
勤勤恳恳,qin2qin2ken3ken3,,可,,,可,,~干一辈子
轻飘飘,qing1piao1piao1,,,,可,可,,"~地摆动/这东西~的/他受到领导的赞许,就变得~的"
清清楚楚,qing1qing1chu1chu1,,可,,可,可,,这件事~/说得~的/~讲了一遍/小李~地记得这件事
热乎乎,re4hu1hu1,,,,可,可,,饭菜~、香喷喷/饭菜~的/烧得~的
热热闹闹,re4re5nao1nao1,,可,,可,可,,晚会开得~/~过新年
软绵绵,ruan3mian1mian1,,,否,可,可,,"被子~的,盖着很舒服"
软塌塌,ruan3ta1ta1,,,否,可,可,,他觉得身上~的/太阳晒得~的
傻乎乎,sha3hu1hu1,,,,可,可,,这孩子~地看着我/这个孩子变得~的
煞白,sha4bai2,,,否,可,可,,病人的脸色~/他的脸色吓得~
湿淋淋,shi1lin1lin1,,,否,可,可,,全身被大雨浇得~的
舒舒服服,shu1shu1fu1fu1,,可,,可,可,,~睡上一觉
水灵灵,shui3ling1ling1,,,否,可,可,,两只眼睛~的/这个小姑娘长得~的
水汪汪,shui3wang1wang1,,,否,可,可,,地上~的/小李的眼睛长得~的
顺顺当当,shun4shun5dang1dang1,,可,,可,,,这几件事~完成了/日子过得~
松松垮垮,song1song1kua3kua3,,,,可,可,,这个班的同学~/小李这学期变得~的
酸溜溜,suan1liu1liu1,,,,可,可,,这些咸菜变得~的/腿肚子~的/小李~地说几句
酸疼,suan1teng2,,,否,可,可,,手臂~
踏踏实实,ta1ta5shi1shi1,,可,,可,可,,~[地]做事情
体体面面,ti3ti3mian4mian4,,,,可,可,,这个小女孩长得~的
甜丝丝,tian2si1si1,,,否,可,可,,这道菜炒得~的
甜滋滋,tian2zi1zi1,,,否,可,可,,这个菜~的
铁青,tie3qing1,,,否,可,可,,"他脸色~的/长期生病,脸色变得~"
通红,tong1hong2,,,否,可,可,,小手冻得~/炉火~
痛痛快快,tong4tong5kuai1kuai1,,可,,,,,~洗了个澡/~地大干了一番
拖拖拉拉,tuo1tuo1la1la1,,,,可,可,,工作~/这个人干事现在变得~的
瓦蓝,wa3lan2,,,否,,可,,天空~~的
歪歪斜斜,wai1wai1xie2xie2,,,,可,可,,字写得~/他~地向前挪动了几步
文绉绉,wen2zhou1zhou1,,,,可,可,,"他说得~的,我们听不懂/他说话~的"
雾蒙蒙,wu4meng1meng1,,,否,可,可,,"天空变得~的,远处的景物,什么也看不清"
稀里糊涂,xi1li5hu2tu2,,可,,可,可,,他~[地]同意了/他~的/闹得~的
稀稀拉拉,xi1xi5la1la1,,,,可,可,,"他有病,头发变得~的/~的活了几株果树"
喜洋洋,xi3yang2yang2,,,,,可,,全村老少~
细高,xi4gao1,可,,否,,可,,~个儿
细条条,xi4tiao5tiao5,,,否,,可,,这孩子身材~/他个儿长得~
