词语,全拼音,同形,数名,数量名,个体量词,度量词,容器量词,集体量词,种类量词,成形量词,不定量词,前接,后接,状语,重叠,临量,处所,兼类,备注
末尾,mo4wei3,,,否,,,,,,,,,,,,,,,
沫儿,mor4,,,,,,,,,"堆,层","些,点",,,,,,,,
茉莉,mo4li4,1,,,"棵,株",,盆,,,片,些,,,,,,,,草本植物
茉莉,mo4li4,2,,,"朵,枝",,,,,"束,把",些,,,,,,,,植物的花
墨,mo4,,,,条,,"盒,瓶",,种,"滴,块","些,点",,,,,,,,
墨水,mo4shui3,,,,,,瓶,,种,滴,"些,点",,,,,,,,
母女,mu3nv3,,,否,,,,,,,,,,,,,,,
母校,mu3xiao4,,,,个,,,,,,,,,,,,可,,
母语,mu3yu3,,,否,,,,,,,,,,,,,,,
牡丹,mu3dan5,1,,,"株,棵",亩,盆,,种,"丛,片",些,,,,,,,,一棵~
牡丹,mu3dan5,2,,,"朵,枝",,,,种,"束,把",些,,,,,,,,一朵~/~品种/红色~
木板,mu4ban3,,,,,"平方米,立方米",车,批,种,"堆,块,摞","些,点",,,,,,,,
木材,mu4cai2,,,,,立方米,车,批,种,,"些,点",,,,,,,,进口~价格很贵
木耳,mu4er3,,,,"个,朵","斤,公斤,吨","袋,包",批,种,片,"些,点",,,,,,,,
木匠,mu4jiang4,,,,"个,位,名",,,"群,伙",,,些,,们,,,,,,
木块,mu4kuai4,,,,,"斤,公斤","筐,车",,,"堆,片","些,点",,儿,,,,,,
木偶,mu4ou3,,,,个,,,群,种,,些,,,,,,,,
木头,mu4tou5,,,,根,"立方米,立方厘米",车,批,种,"堆,块,捆","些,点",,,,,,,,
目标,mu4biao1,,,,个,,,,种,,些,,,,,,,,地面~/射击~/~文件
目的,mu4di4,,,,个,,,,种,,"些,点",,性,,,,,,生产~
目光,mu4guang1,,,否,,,,,,,,,,,,,,,
目录,mu4lu4,,,,"张,页,个",,,份,种,,些,,,,,,,,~名称
牧歌,mu4ge1,,,,"首,支,句",,,,,段,些,,,,,,,,
牧童,mu4tong2,,,,"个,位,名",,,"群,帮",,,些,,们,,,,,,
墓碑,mu4bei1,,,,"块,个,座",,,,,排,些,,,,,,,,
暮色,mu4se4,,,否,,,,,,,,,,,,,,,
内阁,nei4ge2,,,,个,,,,,,,,,,,,,,
内科,nei4ke1,,,,个,,,,,,,,,,,,可,,
内幕,nei4mu4,,,,,,,,,,"些,点",,,,,,,,~消息/政府~
内情,nei4qing2,,,,,,,,,,"些,点",,,,,,,,
内容,nei4rong2,,,,"个,项",,,,种,,"些,点",,,,,,,,文章~/化验~
内行,nei4hang2,,,,"个,位",,,批,,,些,,,,,,,a,我请来了一位~/很~(a)
内衣,nei4yi1,,,,件,,箱,套,种,"堆,摞",些,,,,,,,,
内战,nei4zhan4,,,否,,,,,,,,,,,,,,,一场~/一次~
奶,nai3,,,,,"斤,公斤,克,千克,磅","瓶,箱,车",,种,滴,"些,点",,,,,,,v,
奶粉,nai3fen3,,,,,"斤,吨,千克","包,勺,袋,瓶",,种,,"些,点",,,,,,,,
奶糖,nai3tang2,,,,,"斤,公斤,千克","包,盒,袋",,种,块,"些,点",,,,,,,,
奶油,nai3you2,,,,,"斤,公斤,千克","袋,盘",,,"块,层","些,点",,,,,,,,
耐性,nai4xing4,,,,,,,,,,点,,,,,,,,
男人,nan2ren2,,,,个,,,"群,帮,伙",,,些,,们,,,,,,
男性,nan2xing4,,,否,,,,,,,,,,,,,,,
男子汉,nan2zi3han4,,,,"个,位,名",,,"群,帮",,,,,,,,,,,
南瓜,nan2gua1,1,,,"棵,株",亩,,,,片,些,,,,,,,,一年生草本植物
南瓜,nan2gua1,2,,,个,"公斤,斤,千克,克","车,筐,碗",,,"堆,块","些,点",,,,,,,,这种植物的果实
难民,nan4min2,,数,,"个,位,名",,,"群,批,帮,伙",,,些,,们,,,,,,3千~无家可归
难题,nan2ti2,,,,"个,道",,,,,,些,,,,,,,,数学~/出~/学习~
脑袋,nao3dai5,,,,个,,,,,,,,,,,,,,耷拉着~
脑筋,nao3jin1,,,,,,,,,,点,老,,,,,,,你动点~
闹剧,nao4ju4,,,,出,,,,,,些,,,,,,,,
闹市,nao4shi4,,,否,,,,,,,,,,,,,,,
闹钟,nao4zhong1,,,,"个,座",,,,种,,些,,,,,,,,
能力,neng2li4,,,,,,,,种,,"些,点",,,,,,,,写作~
能量,neng2liang4,,,,,,,,,,"些,点",,,,,,,,全部~/运动~
能源,neng2yuan2,,,,,,,,种,,些,,,,,,,,~危机
尼龙,ni2long2,,,,,"吨,米,厘米","包,箱",批,种,块,些,,,,,,,,
泥,ni2,,,,,,车,,,"摊,块,团","些,点",,,,,,,,红豆~/~茶壶
泥浆,ni2jiang1,,,,,"吨,立方米","桶,车",,,摊,"些,点",,,,,,,,
泥鳅,ni2qiu1,,,,条,"斤,公斤,克,千克","盆,盘",群,,,"些,点",,,,,,,,红烧~
泥沙,ni2sha1,,,,,"吨,立方米",车,,,,"些,点",,,,,,,,
泥水,ni2shui3,,,,,,桶,,,摊,"些,点",,,,,,,,
泥土,ni2tu3,,,,,立方米,,,,块,"些,点",,,,,,,,砂质~
逆境,ni4jing4,,,否,,,,,,,,,,,,,,,
年代,nian2dai4,,数,否,,,,,,,,,,,,,,,做主、宾语时必带定语/战争~/90~
年糕,nian2gao1,,,,,"斤,公斤,克,千克","袋,盘,碗",,种,"块,片","些,点",,,,,,,,
年画,nian2hua4,,,,"幅,张",,,批,种,"沓,摞",些,,,,,,,,
年景,nian2jing3,,,否,,,,,,,,,,,,,,,
年龄,nian2ling2,,,否,,,,,,,,,,,,,,,
黏米,nian2mi3,,,,,"公斤,吨,千克",袋,,,把,"些,点",,,,,,,,
黏液,nian2ye4,,,,,,,,种,滴,"些,点",,,,,,,,
念头,nian4tou5,,,,个,,,,种,,些,,,,,,,,
娘,niang2,,,,个,,,,,,,,儿,,,,,,
鸟,niao3,,,,只,,,"群,窝","种,类",,些,,儿,,,,,,~笼子/非洲~/飞~
鸟类,niao3lei4,,,否,,,,,,,,,,,,,,,
尿布,niao4bu4,,,,条,,包,,,"堆,块,摞",些,,,,,,,,
柠檬,ning2meng2,1,,,"棵,株",,,,,"片,行",些,,,,,,,,~树
柠檬,ning2meng2,2,,,个,"斤,公斤,克,千克","袋,篓,筐",,,"块,片","些,点",,,,,,,,这种植物的果实
牛,niu2,,,,"头,条",,,群,种,,些,,,,,,,,~鼻子
牛黄,niu2huang2,,,,,"克,千克",,,,,"些,点",,,,,,,,
牛奶,niu2nai3,,,,,"磅,公斤,吨,克,千克","瓶,杯,箱",,,滴,"些,点",,,,,,,,冰镇~
钮扣,niu3kou4,,,,"个,颗,枚",,"盒,包","批,副",种,排,些,,儿,,,,,,
农村,nong2cun1,,,否,,,,,,,,,,,,,可,,中国~/~居民
农具,nong2ju4,,,,"个,件",,,"套,批","种,类",,些,,,,,,,,
农民,nong2min2,,数,,"个,位,户",,,"群,帮",,,些,,们,,,,,,3亿~
农药,nong2yao4,,,,,"公斤,吨,克,千克","瓶,袋,包",批,种,滴,"些,点",,,,,,,,
农业,nong2ye4,,,否,,,,,,,,,,,,,,,
农作物,nong2zuo4wu4,,,,,亩,,,"种,类",,些,,,,,,,,
浓度,nong2du4,,,否,,,,,,,,,,,,,,,
奴隶,nu2li4,,数,,个,,,"群,帮",,,些,,们,,,,,,
怒火,nu4huo3,,,,,,,,,"团,股,腔",,,,,,,,,
女儿,nv3er2,,,,个,,,,,,,,们,,,,,,
女孩,nv3hai2,,,,"个,名",,,群,,,些,,"子,儿",,,,,,
女士,nv3shi4,,,,"位,个,名",,,群,,,些,,们,,,,,,
女性,nv3xing4,,,否,,,,,,,,,化,,,,,,职业~/~时装
暖房,nuan3fang2,,,,"个,间",,,,,排,些,,,,,,可,,
暖瓶,nuan3ping2,,,,个,,箱,批,种,,些,,,,,,,,
暖气,nuan3qi4,1,,否,,,,,,,,,,,,,,,指管道中的蒸气或热水
暖气,nuan3qi4,2,,,片,,,"组,批",种,,些,,,,,,,,指输送暖气的设备
诺言,nuo4yan2,,,,"条,句",,,,,,些,,,,,,,,
懦夫,nuo4fu1,,,,个,,,"群,帮,伙",,,些,,,,,,,,
欧洲,ou1zhou1,,,否,,,,,,,,,,,,,可,,
偶像,ou3xiang4,,,,个,,,群,种,,些,,,,,,,,
排球,pai2qiu2,,,,个,,"箱,筐",,,,些,,,,,,,,
排他性,pai2ta1xing4,,,,,,,,种,,,,,,,,,,
牌子,pai2zi5,,,,个,,,,种,"块,摞",些,,,,,,,,
派别,pai4bie2,,,,个,,,,种,,些,,,,,,,,
派头,pai4tou2,,,,副,,,,种,,,,儿,,,,,,
盘子,pan2zi5,,,,个,,,套,种,"叠,摞",些,,,,,是,,,给了满满一~花生
叛兵,pan4bing1,,,,个,,,"群,伙,帮",,,些,,,,,,,,
叛徒,pan4tu2,,,,个,,,"群,帮,伙",,撮,些,,,,,,,,
盼头,pan4tou5,,,,个,,,,,,点,,,,,,,,
螃蟹,pang2xie4,,,,"只,个","斤,公斤,克,千克","盘,篓,筐",群,种,串,"些,点",,,,,,,,
胖子,pang4zi5,,,,个,,,群,,,些,,,,,,,,
刨花,bao4hua1,,,,,"公斤,斤,千克","袋,筐",,,"把,堆","些,点",,,,,,,,
炮,pao4,,,,"个,门",,盒,批,种,"挂,串",些,,,,,,,,武器;爆竹;爆破用的炮
炮火,pao4huo3,,,,,,,,,片,,,,,,,,,"数词限于""一""/地面~"
跑道,pao3dao4,,,,条,,,,,段,些,,,,,,,,
泡沫,pao4mo4,,,,,,,,,"层,团","些,点",,,,,,,,~经济
配方,pei4fang1,,,,"个,张",,,套,种,,些,,,,,,,,
配偶,pei4ou3,,,否,,,,,,,,,,,,,,,
喷泉,pen1quan2,,,,"个,眼",,,,,股,些,,,,,,,,
盆景,pen2jing3,,,,个,,盆,,种,,些,,儿,,,,,,
朋友,peng2you5,,,,"个,位",,,"群,伙,帮",,,些,,们,,,,,,
棚子,peng2zi5,,,,"个,间",,,,,排,些,,,,,,,,卖瓜~
批示,pi1shi4,,,,"个,项,条",,,,,段,些,,,,,,,v,有~/~内容/领导的~/请你~(v)
纰漏,pi1lou4,,,,个,,,,,,些,,,,,,,,小李出了一个~
皮,pi2,,,,张,,,,,"层,块","些,点",,儿,,,,,a,~手套/羊~
皮肤,pi2fu1,,,,,,,,种,块,些,,,,,,,,
皮球,pi2qiu2,,,,"个,只",,箱,,种,,些,,,,,,,,
皮鞋,pi2xie2,,,,只,,,"双,批",种,,些,,,,,,,,
皮子,pi2zi5,,,,张,,,,种,块,些,,,,,,,,
枇杷,pi2pa2,1,,,"棵,株",,,,,"片,行,排",些,,,,,,,,常绿乔木
枇杷,pi2pa2,2,,,个,"克,斤,公斤,吨","篓,筐,盘,车",,,堆,"些,点",,,,,,,,这种植物的果实
啤酒,pi2jiu3,,,,,"升,毫升,吨","瓶,杯,箱",,种,滴,"些,点",,,,,,,,
琵琶,pi2pa5,,,,"把,个",,,,,,些,,,,,,,,弦乐器
脾气,pi2qi5,,,,,,,,,,点,,,,,,,,
片断,pian4duan4,,,,个,,,,,,些,,,,,,,b,~的社会现象(b)
偏见,pian1jian4,,,,,,,,种,,"些,点",,,,,,,,种族~
篇幅,pian1fu2,,,否,,,,,,,,,,,,,,,
骗子,pian4zi5,,,,"个,名",,,"群,伙",,,些,,,,,,,,
票,piao4,,,,张,,,,种,"沓,摞,堆",些,,"儿,子",,,,,,~夹子/火车~/舞~
票价,piao4jia4,,,,,,,,种,,,,,,,,,,
姘妇,pin1fu4,,,,"个,名",,,群,,,些,,,,,,,,
拼盘,pin1pan2,,,,个,,,,"种,样",,些,,儿,,,,,,水果~
频率,pin2lv4,,,,,,,,种,,些,,,,,,,,出现~
品德,pin3de2,,,,,,,,种,,,,,,,,,,思想~
品质,pin3zhi4,,,,,,,,种,,,,,,,,,,产品~
平房,ping2fang2,,,,"间,栋,个",平方米,,,,"排,溜,片",些,,,,,,,,
平面,ping2mian4,,,,个,,,,,,,,,,,,,,
平民,ping2min2,,,,"个,户",,,"群,帮",,,些,,,,,,,,
平信,ping2xin4,,,,封,,,,,"叠,沓,摞",些,,,,,,,,
平原,ping2yuan2,,,,个,,,,,片,些,,,,,,,,
评论员,ping2lun4yuan2,,,,"个,位,名",,,群,,,些,,,,,,,,
凭证,ping2zheng4,,,,"个,张",,,,种,,些,,,,,,,,购物~
苹果,pin2guo3,1,,,个,"斤,公斤,吨","车,筐,篓",批,种,块,"些,点",,,,,,,,果实:黄香蕉~
苹果,pin2guo3,2,,,"棵,株",亩,,,种,"行,片",些,,,,,,,,落叶乔木
屏幕,ping2mu4,,,,个,,,,种,,,,,,,,,,
瓶子,ping2zi5,,,,个,,箱,批,种,堆,些,,,,,,,,
婆婆,po2po5,,,,"位,个",,,群,,,些,,们,,,,,,
破绽,po4zhan4,,,,"处,个",,,,,,"些,点",,,,,,,,
魄力,po4li4,,,,,,,,种,,些,,,,,,,,
仆人,pu2ren2,,,,个,,,"群,伙,帮",,,些,,们,,,,,,
铺子,pu4zi5,,,,"家,个",,,,种,排,些,,,,,,可,,
菩萨,pu2sa4,,,,"个,尊",,,,,排,些,,,,,,,,
葡萄,pu2tao2,1,,,"棵,株","亩,公顷",,,,"片,排",些,,,,,,,,植物
葡萄,pu2tao2,2,,,"个,粒","斤,吨,公斤,千克","筐,篮,盘",,种,串,些,,,,,,,,果实
普通话,pu3tong1hua4,,,,句,,,,,段,"些,点",,,,,,,,
瀑布,pu4bu4,,,,"个,处",,,,,"道,片",些,,,,,,,,
期限,qi1xian4,,,否,,,,,,,,,,,,,,,交款~
漆工,qi1gong1,1,,,"个,名,位",,,"群,帮",,,些,,们,,,,,,做油漆器物工作的人
漆工,qi1gong1,2,,否,,,,,,,,,,,,,,,油漆门窗、器物的工作
漆匠,qi1jiang4,,,,"个,名,位",,,"群,帮",,,些,,们,,,,,,
奇迹,qi2ji1,,,,个,,,,种,,些,,,,,,,,
歧义,qi2yi4,,,,,,,,种,,些,,,,,,,,
骑兵,qi2bing1,,数,,"支,个,位,名",,,"群,队",,,些,,们,,,,,,10万~
棋手,qi2shou3,,,,"个,位,名",,,群,,,些,,们,,,,,,
棋子,qi2zi3,,,,"个,颗,粒,枚",,盒,,种,堆,些,,儿,,,,,,
旗号,qi2hao4,,,否,,,,,,,,,,,,,,,
旗子,qi2zi5,,,,面,,,,种,排,些,,,,,,,,
乞丐,qi3gai4,,,,个,,,"帮,群,伙",,,些,,,,,,,,
企业,qi3ye4,,,,"家,个",,,批,种,,些,,"家,界",,,,,,~人员/地方~/合资~
起点,qi3dian3,,,,个,,,,,,,,,,,,,,
起跑线,qi3pao3xian4,,,,条,,,,,,,,,,,,,,
起源,qi3yuan2,,,否,,,,,,,,,,,,,,,人类~
气,qi4,,,,,,口,,,股,点,,,,,,,va,孩子~/泥土~
气度,qi4du4,,,否,,,,,,,,,,,,,,,
气氛,qi4fen1,,,,,,,,种,,"些,点",,,,,,,,会议~空前热烈
气概,qi4gai4,,,否,,,,,,,,,,,,,,,英雄~
气功,qi4gong1,,,,,,,,种,,点,,师,,,,,,
气候,qi4hou4,,,,,,,,种,,,,,,,,,,
气节,qi4jie2,,,否,,,,,,,,,,,,,,,
气量,qi4liang4,,,,,,,,,,点,,,,,,,,
气流,qi4liu2,,,,,,,,,股,,,,,,,,,
气派,qi4pai4,,,,,,,,种,,,,,,,,,,
气魄,qi4po4,,,,,,,,,,点,,,,,,,,"他有~/长江~浩瀚,波涛滚滚"
气球,qi4qiu2,,,,"个,只",,,批,种,串,些,,,,,,,,
气体,qi4ti3,,,,,"毫升,立方米",瓶,,种,股,"些,点",,,,,,,,黄色~
气味,qi4wei4,,,,,,,,种,股,点,,,,,,,,大粪~
气压,qi4ya1,,,否,,,,,,,,,,,,,,,~表
气焰,qi4yan4,,,否,,,,,,,,,,,,,,,
气质,qi4zhi4,,,,,,,,种,,点,,,,,,,,
汽车,qi4che1,,,,辆,,,批,种,排,些,,,,,,,,这是进口~/越野~/日本~
汽水,qi4shui3,,,,,,"箱,瓶,杯",,种,滴,"些,点",,儿,,,,,,
汽油,qi4you2,,,,,"升,公斤,吨,千克","桶,瓶",,种,滴,"些,点",,,,,,,,
器官,qi4guan1,,,,个,,,,种,,些,,,,,,,,
器量,qi4liang4,,,否,,,,,,,,,,,,,,,
铅,qian1,,,,,"克,公斤,吨,千克",车,,,"块,堆","些,点",,,,,,,,一种金属
铅笔,qian1bi3,,,,"枝,支,根,杆",,盒,批,种,把,"些,点",,,,,,,,
谦辞,qian1ci2,,,否,,,,,,,,,,,,,,,
签证,qian1zheng4,,,,张,,,份,,,,,,,,,,v,出国~
前程,qian2cheng2,,,否,,,,,,,,,,,,,,,锦绣~
前景,qian2jing3,,,,,,,,种,,,,,,,,,,
前人,qian2ren2,,,否,,,,,,,,,,,,,,,
前提,qian2ti2,,,,个,,,,种,,些,,,,,,,,~条件/物质~
前途,qian2tu2,,,,,,,,种,,,,,,,,,,个人~
钱,qian2,,,,,元,"包,袋",笔,,,"些,点",,,,,,,,中国~/车~/零花~
钳子,qian2zi5,,,,把,,"箱,盒",套,种,,些,,,,,,,,
乾坤,qian2kun1,,,否,,,,,,,,,,,,,,,
潜力,qian2li4,,,,,,,,种,,"些,点",,,,,,,,他学习上有~就是不用功
浅滩,qian3tan1,,,,"个,处",,,,,"片,块",些,,,,,,,,
歉意,qian4yi4,,,,,,,,,,"些,点",,,,,,,,
枪炮,qiang1pao4,,,,,,车,批,,,些,,,,,,,,
腔调,qiang1diao4,,,,,,,,种,,,,,,,,,,
强盗,qiang2dao4,,,,个,,,"群,伙,帮",,,些,,,,,,,,
强度,qiang2du4,,,否,,,,,,,,,,,,,,,训练~/磁场~
墙,qiang2,,,,面,,,,种,"堵,段,道",些,,,,,一,,,石头~/糊了一~纸
墙纸,qiang2zhi3,,,,张,,,,种,捆,些,,,,,,,,
襁褓,qiang3bao3,,,否,,,,,,,,,,,,,,,
侨眷,qiao2juan4,,,,"个,位,名",,,群,,,些,,们,,,,,,
桥,qiao2,,,,"座,个",,,,种,,些,,,,,,,,石头~
桥梁,qiao2liang2,,,,"个,座",,,,种,,些,,,,,,,,
桥牌,qiao2pai2,,,否,,,,,,,,,,,,,,,打~
巧克力,qiao3ke4li4,,,,,"斤,公斤,克,千克","盒,包,袋",,种,块,"些,点",,,,,,,,
峭壁,qiao4bi4,,,,"个,处",,,,,,些,,,,,,,,
窍门,qiao4men2,,,,个,,,,种,,些,,儿,,,,,,
亲骨肉,qin1gu3rou4,,,否,,,,,,,,,,,,,,,
亲戚,qin1qi1,,,,"个,位,家",,,"群,帮",,,些,,们,,,,,,
亲人,qin1ren2,,,,"位,个",,,,,,些,,们,,,,,,
亲属,qin1shu3,,,,"个,位",,,帮,,,些,,们,,,,,,
芹菜,qin2cai4,,,,"棵,株","斤,公斤,克,千克,亩","筐,盘,车",,,"片,把,捆","些,点",,,,,,,,
琴,qin2,,,,"把,架,台",,,,种,,些,,师,,,,,,七弦~/风~/钢~
青菜,qing1cai4,,,,"棵,株","斤,公斤,克,千克,亩","篮,盘,筐,车",,种,"片,把,捆","些,点",,,,,,,,
青草,qing1cao3,,,,"棵,根",,车,,种,片,"些,点",,,,,,,,沙漠里一点~都不长
青春,qing1chun1,,,否,,,,,,,,,,,,,,,
青霉素,qing1mei2su4,,,,,克,"瓶,盒,包",,,,"些,点",,,,,,,,
青年,qing1nian2,,,,"个,位,名",,,"群,帮,伙",,,些,,们,,,,,,~时代/中国~
青蛙,qing1wa1,,,,"个,只",,篓,群,,,些,,,,,,,,
氢气,qing1qi4,,,,,"升,毫升,立方米",瓶,,,,"些,点",,,,,,,,
轻风,qing1feng1,,,,,,,,,缕,,,,,,,,,
轻音乐,qing1yin1yue4,,,,"曲,首,支",,,,种,段,些,,,,,,,,
倾向,qing1xiang4,,,,,,,,种,,"些,点",,性,,,,,v,作主宾语要带定语/发展~
清单,qing1dan1,,,,张,,,份,种,"沓,摞",些,,,,,,,,
清官,qing1guan1,,,,"个,位,名",,,群,,,些,,,,,,,,
清水,qing1shui3,,,,,,"瓶,杯",,,滴,"些,点",,,,,,,,
清香,qing1xiang1,,,,,,,,种,"股,缕",点,,,,,,,,
蜻蜓,qing1ting2,,,,"只,个",,,"群,对",种,,些,,,,,,,,
情,qing2,,,,,,,,,段,,,,,,,,,
情报,qing2bao4,,,,"条,个,件",,,份,种,,"些,点",,"学,员",,,,,,军事~
情操,qing2cao1,,,,,,,,种,,,,,,,,,,他有一种高尚的~
情调,qing2diao4,,,,,,,,种,,点,,,,,,,,
情景,qing2jing3,,,,,,,,种,,,,,,,,,,~教学法/冬天的北国风光另是一番~
情侣,qing2lv3,,,,,,,对,,,些,,们,,,,,,~表/~衣服
情绪,qing2xu4,,,,,,,,种,,"些,点",,,,,,,,~因素
晴天,qing2tian1,,,否,,,,,,,,,,,,,,,
请柬,qing3jian3,,,,张,,,份,,"叠,沓,摞",些,,,,,,,,
秋风,qiu1feng1,,,,,,,,,"缕,丝",,,,,,,,,
秋千,qiu1qian1,,,,"个,副",,,,,,些,,,,,,,,
蚯蚓,qiu1yin3,,,,条,,,窝,种,,些,,,,,,,,
球,qiu2,,,,个,,盒,,种,,些,,,,,,,,
球赛,qiu2sai4,,,否,,,,,,,,,,,,,,,"两场~/可用动量词""次、场、局""修饰"
球鞋,qiu2xie2,,,,只,,箱,"双,批",种,,些,,,,,,,,
球星,qiu2xing1,,,,"个,位,名",,,群,,,些,,,,,,,,
区,qu1,,数,,个,,,,,,些,,长,,,,,,海淀~/三~
区域,qu1yu4,,,,个,,,,,,些,,性,,,,,,活动~
曲线,qu1xian4,,,,"条,根",,,,种,段,些,,,状,,,,,~救国/~运动
曲子,qu3zi5,,,,"支,首",,,,种,段,些,,,,,,,,
屈辱,qu1ru3,,,,,,,,种,,点,,,,,,,,
趋势,qu1shi4,,,,,,,,种,,"些,点",,,,,,,,发展~/经济~
渠道,qu2dao4,,,,"条,个",,,,种,段,些,,,,,,,,流通~/购贷~
趣味,qu4wei4,,,,,,,,种,,"些,点",,,,,,,,小资产阶级~
全国,quan2guo2,,,否,,,,,,,,,,,,,,,~各地/在~开展环境保护运动
全景,quan2jing3,,,,幅,,,,,,,,,,,,,,
全局,quan2ju2,,,否,,,,,,,,,,,,,,,
权,quan2,,,,,,,,,,"些,点",,,,,,,,公民~/选举~/发言~
权威,quan2wei1,,,,"个,位",,,,,,些,,"性,们",,,,,a,物理~/~著作(a)
权益,quan2yi4,,,否,,,,,,,,,,,,,,,妇女~
泉水,quan2shui3,,,,眼,"吨,立方米",瓶,,,股,"些,点",,,,,,,,
拳头,quan2tou5,,,,"个,只",,,双,,,,,,,,,,,铁~
缺点,que1dian3,,,,"条,个",,,,种,,"些,点",,,,,,,,
缺陷,que1xian4,,,,个,,,,种,,"些,点",,,,,,,,
裙子,qun2zi5,,,,条,,"包,箱",,种,摞,些,,,,,,,,
群体,qun2ti3,,,,个,,,,种,,些,,,,,,,,
群众,qun2zhong4,,数,,,,,,,,些,,性,,,,,,~观点/工人~/革命~
燃料,ran2liao4,,,,,"公斤,吨,千克",车,批,种,,"些,点",,,,,,,,
染色体,ran3se4ti3,,,,个,,,对,种,,些,,,,,,,,
热点,re4dian3,,,,个,,,,种,,些,,,,,,,,讨论~
热度,re4du4,,,,,,,,,,"些,点",,,,,,,,
热量,re4liang4,,,,,"卡,千卡",,,,,些,,,,,,,,
热能,re4neng2,,,,,"卡,千卡",,,种,,,,,,,,,,
热线,re4xian4,,,,条,,,,,,,,,,,,,,
人,ren2,,数,,"个,口",,,"帮,群,批","种,类",,些,,"们,性",,NN,,,,中国~
人才,ren2cai2,,,,个,,,批,"种,类",,些,,,,,,,,指相貌:有几分~
人格,ren2ge2,,,,,,,,种,,,,化,,,,,,
人口,ren2kou3,,数,否,,,,,,,,,学,,,,,,10亿~/世界~每年增长/~密度
人类,ren2lei4,,,否,,,,,,,,,学,,,,,,
人民,ren2min2,,数,否,,,,,,,,,性,,,,,,
人情,ren2qing2,,,,个,,,,种,,"些,点",,,,,,,,做个~/不近~
人生,ren2sheng1,,,否,,,,,,,,,,,,,,,~旅途
人体,ren2ti3,,,否,,,,,,,,,,,,,,,~模型
人物,ren2wu4,,,,个,,,批,"种,类",,些,,,,,,,,
人性,ren2xing4,,,,,,,,种,,点,,,,,,,,
人员,ren2yuan2,,,,,,,,,,些,,,,,,,,操作~/值班~
人缘,ren2yuan2,,,,,,,,,,点,,儿,,,,,,
人质,ren2zhi4,,,,"名,个",,,批,,,些,,,,,,,,
仁爱,ren2ai4,,,,,,,,,,点,,,,,,,,
认识,ren4shi5,,,,"条,点,个",,,,种,,"些,点",,,,,,,v,
任务,ren4wu5,,,,"项,个,件",,,批,种,,"些,点",,,,,,,,清理~
日程,ri4cheng2,,,否,,,,,,,,,,,,,,,活动~
日记,ri4ji4,,,,"本,篇,则",,,,,段,些,,,,,,,,工作~
日历,ri4li4,,,,"个,本,页",,,批,种,,些,,,,,,,,
日期,ri4qi1,,,,个,,,,,,,,,,,,,,起程~
日用品,ri4yong4pin3,,,,件,,"箱,车",批,种,堆,"些,点",,,,,,,,
日子,ri4zi5,,,否,,,,,,,,,,,,,,,
绒线,rong2xian4,,,,根,"斤,吨","包,盒",,种,"团,段","些,点",,,,,,,,毛线;粗丝线
绒衣,rong2yi1,,,,件,,"包,箱","套,批",,摞,些,,,,,,,,
荣誉,rong2yu4,,,,,,,份,种,,"些,点",,,,,,,,个人~/~证书
容量,rong2liang4,,,否,,,,,,,,,,,,,,,电~/通讯~/装机~
容貌,rong2mao4,,,否,,,,,,,,,,,,,,,
溶液,rong2ye4,,,,,"立方米,升",瓶,,种,,"些,点",,,,,,,,
柔情,rou2qing2,,,,,,,,,"缕,片",,,,,,,,,
肉,rou4,,,,,"吨,斤,克,千克",,,种,"堆,块,片","些,点",,,,,,,,
肉片,rou4pian4,,,,,"斤,千克,克",盘,,,块,"些,点",,儿,,,,,,
肉体,rou4ti3,,,否,,,,,,,,,,,,,,,
儒教,ru2jiao4,,,否,,,,,,,,,,,,,,,
乳房,ru3fang2,,,,个,,,对,,,,,,,,,,,
乳品,ru3pin3,,,,,"磅,斤,吨",,,,,"些,点",,,,,,,,
入口,ru4kou3,,,,"个,处",,,,,,,,,,,,,v,
褥子,ru4zi5,,,,"个,床",,,,种,,些,,,,,,,,
软件,ruan3jian4,,,,个,,,"批,套","种,类",,些,,,,,,,,
软盘,ruan3pan2,,,,"个,块",,"盒,箱",批,种,,些,,,,,,,,
软卧,ruan3wo4,,,,个,,,,,,些,,,,,,,,
锐气,rui4qi4,,,,,,,,,股,"些,点",,,,,,,,
弱点,ruo4dian3,,,,个,,,,种,,些,,,,,,,,致命~
弱者,ruo4zhe3,,,,个,,,群,,,些,,,,,,,,
塞子,sai1zi5,,,,个,,,,种,,些,,,,,,,,瓶~
赛车,sai4che1,,,,辆,,,批,种,,些,,,,,,,v,
赛艇,sai4ting3,,,,艘,,,,种,,些,,,,,,,,
三合板,san1he2ban3,,,,,平方米,车,,,"堆,块","些,点",,,,,,,,
三角,san1jiao3,,,,,,,,门,,,,学,,,,,,三角学的简称
三角形,san1jiao3xing2,,,,个,,,,种,,,,,,,,,,
三轮车,san1lun2che1,,,,辆,,,批,种,,些,,,,,,,,
三屉桌,san1ti4zhuo1,,,,"个,张",,,,,排,些,,,,,,,,
伞,san3,,,,把,,,批,种,,些,,,,,,,,折叠~
散文,san3wen2,,,,"篇,本",,,,,段,些,,,,,,,,获奖~
桑叶,sang1ye4,,,,片,,篮,,,"堆,把",些,,,,,,,,
嗓门儿,sang3menr2,,,否,,,,,,,,,,,,,,,一副大~
丧礼,sang1li3,,,否,,,,,,,,,,,,,,,
